Fecha_Consulta,Hora_Consulta,Tasa_USD,Tasa_EUR,Tasa_USDT_Promedio,Fuente
2026-09-13,17:36:41,832.4883,968.0673,959.9300,alcambio.app
2026-09-14,13:57:00,832.4883,968.0673,959.6800,alcambio.app
2026-09-14,16:30:07,842.2067,977.8778,953.3600,alcambio.app
2026-09-15,09:30:05,842.2067,977.8778,947.8200,alcambio.app
2026-09-15,16:30:06,842.2067,977.8778,959.0250,alcambio.app
2026-09-16,09:30:06,846.5131,977.1809,956.8050,alcambio.app
2026-09-16,16:30:06,846.5131,977.1809,958.2850,alcambio.app
2026-09-17,09:30:06,847.4442,977.6794,948.8450,alcambio.app
2026-09-17,16:30:05,847.4442,977.6794,953.4300,alcambio.app
2026-09-18,09:30:06,848.5458,974.4191,947.8000,alcambio.app
2026-09-18,16:30:06,848.5458,974.4191,949.7450,alcambio.app
2026-09-21,09:30:06,849.5640,974.0931,945.7000,alcambio.app
2026-09-21,16:30:06,849.5640,974.0931,954.0100,alcambio.app
